date;dr_high_ny;dr_low_ny;greenbox_ny;dr_upday_ny;dr_true_ny;midline_ny;dr_high_ldn;dr_low_ldn;greenbox_ldn;dr_upday_ldn;dr_true_ldn;midline_ldn;dr_high_asia;dr_low_asia;greenbox_asia;dr_upday_asia;dr_true_asia;midline_asia;dr_high_ny_preday;dr_low_ny_preday;midline_ny_preday;greenbox_ny_preday;dr_upday_ny_preday;dr_true_ny_preday;ny_model;ldn_model;asia_model;is_previous_day;asia_outcome;ldn_outcome;ny_outcome
2023-12-04;1.08434;1.08123;False;False;True;1.0827849999999999;1.08731;1.08536;True;True;True;1.086335;1.08949;1.08796;False;False;True;1.0887250000000002;1.08688;1.08413;1.085505;False;False;False;Strong Downtrend;Strong Downtrend;Strong Uptrend;True;Broken;Broken;Complete
2023-12-05;1.08388;1.08012;True;False;True;1.0819999999999999;1.08344;1.08059;True;True;True;1.082015;1.08409;1.08351;True;True;True;1.0838;1.08434;1.08123;1.0827849999999999;False;False;True;Expansion;Strong Downtrend;Contraction;True;Complete;Broken;Complete
2023-12-06;1.08024;1.07853;False;False;True;1.079385;1.07901;1.07749;False;True;False;1.0782500000000002;1.07959;1.07906;False;True;False;1.0793249999999999;1.08388;1.08012;1.0819999999999999;True;False;True;Medium Uptrend;Strong Downtrend;Strong Downtrend;True;Broken;Broken;Broken
2023-12-07;1.07866;1.0767;True;True;True;1.07768;1.07828;1.07719;False;True;False;1.077735;1.07696;1.07645;True;True;False;1.076705;1.08024;1.07853;1.079385;False;False;True;Expansion;Strong Uptrend;Strong Downtrend;True;Broken;Broken;Broken
2023-12-08;1.07857;1.07375;True;False;True;1.07616;1.07912;1.07769;True;False;True;1.078405;1.0795;1.07884;True;True;False;1.07917;1.07866;1.0767;1.07768;True;True;True;Weak Downtrend;Medium Downtrend;Strong Uptrend;True;Broken;Complete;Broken
2023-12-11;1.076;1.07437;False;False;False;1.075185;1.07707;1.07512;True;True;True;1.076095;1.07701;1.07623;True;True;False;1.0766200000000001;1.07857;1.07375;1.07616;True;False;True;Medium Downtrend;Expansion;Contraction;True;Broken;Complete;Broken
2023-12-12;1.07898;1.0767;True;True;True;1.0778400000000001;1.07921;1.07731;True;True;True;1.07826;1.0766;1.07632;True;True;False;1.07646;1.076;1.07437;1.075185;False;False;False;Weak Downtrend;Strong Uptrend;Strong Uptrend;True;Broken;Complete;Broken
2023-12-13;1.07985;1.07826;False;False;False;1.0790549999999999;1.07927;1.07827;True;False;True;1.07877;1.07998;1.07912;False;False;True;1.07955;1.07898;1.0767;1.0778400000000001;True;True;True;Expansion;Medium Downtrend;Strong Uptrend;True;Broken;Complete;Complete
2023-12-14;1.09972;1.09499;True;True;True;1.0973549999999999;1.0905;1.08797;True;True;True;1.089235;1.08892;1.08791;True;True;True;1.088415;1.07985;1.07826;1.0790549999999999;False;False;False;Strong Uptrend;Weak Uptrend;Strong Uptrend;True;Complete;Complete;Complete
2023-12-15;1.09251;1.09098;False;False;True;1.091745;1.09992;1.09456;False;False;True;1.09724;1.09964;1.0984;False;False;False;1.0990199999999999;1.09972;1.09499;1.0973549999999999;True;True;True;Strong Downtrend;Expansion;Contraction;True;Broken;Complete;Broken
2023-12-18;1.09312;1.09153;False;False;True;1.092325;1.09237;1.09156;False;True;False;1.091965;1.08995;1.08918;True;True;True;1.089565;1.09251;1.09098;1.091745;False;False;True;Expansion;Strong Uptrend;Strong Downtrend;True;Broken;Broken;Complete
2023-12-19;1.09842;1.09624;True;True;True;1.09733;1.09424;1.09274;True;True;True;1.09349;1.09247;1.09202;False;False;False;1.0922450000000001;1.09312;1.09153;1.092325;False;False;True;Strong Uptrend;Strong Uptrend;Contraction;True;Broken;Complete;Broken
2023-12-20;1.09722;1.09534;False;True;False;1.0962800000000001;1.09713;1.0958;False;False;True;1.096465;1.09815;1.09716;False;False;True;1.097655;1.09842;1.09624;1.09733;True;True;True;Expansion;Strong Downtrend;Contraction;True;Complete;Complete;Complete
2023-12-21;1.10013;1.09753;False;True;True;1.09883;1.09548;1.0939;False;False;False;1.09469;1.0947;1.09408;True;True;True;1.09439;1.09722;1.09534;1.0962800000000001;False;True;False;Strong Uptrend;Expansion;Strong Downtrend;True;Broken;Broken;Complete
2023-12-22;1.10401;1.10245;False;False;True;1.10323;1.10119;1.09992;True;True;True;1.100555;1.10125;1.10039;False;False;True;1.1008200000000001;1.10013;1.09753;1.09883;False;True;True;Strong Uptrend;Weak Downtrend;Strong Uptrend;True;Broken;Broken;Broken
2023-12-28;1.11127;1.10875;True;False;True;1.11001;1.11217;1.11042;True;True;True;1.1112950000000001;1.11123;1.11072;True;True;True;1.1109749999999998;1.11092;1.10758;1.1092499999999998;True;True;True;Medium Downtrend;Expansion;Medium Uptrend;True;Complete;Complete;Complete
2023-12-29;1.10763;1.1051;True;False;True;1.1063649999999998;1.10774;1.10581;False;False;False;1.1067749999999998;1.1073;1.10644;True;True;False;1.10687;1.11127;1.10875;1.11001;True;False;True;Weak Downtrend;Expansion;Strong Downtrend;True;Broken;Broken;Broken
2024-01-04;1.09651;1.09381;True;False;True;1.09516;1.09561;1.09345;True;True;True;1.09453;1.09276;1.09212;True;False;False;1.0924399999999999;1.09386;1.09097;1.092415;False;False;True;Weak Uptrend;Strong Uptrend;Contraction;True;Broken;Complete;Broken
2024-01-05;1.09984;1.09361;True;False;True;1.096725;1.09258;1.09033;False;True;True;1.091455;1.09504;1.09431;True;True;False;1.094675;1.09651;1.09381;1.09516;True;False;True;Strong Uptrend;Strong Downtrend;Contraction;True;Broken;Broken;Broken
2024-01-08;1.09718;1.09535;True;True;False;1.096265;1.09454;1.0929;False;False;False;1.09372;1.09468;1.09349;True;True;False;1.0940850000000002;1.09984;1.09361;1.096725;True;False;True;Strong Uptrend;Weak Downtrend;Medium Downtrend;True;Broken;Broken;Broken
2024-01-09;1.09513;1.0935;False;False;True;1.094315;1.09567;1.09387;False;False;True;1.09477;1.09576;1.09492;True;True;True;1.09534;1.09718;1.09535;1.096265;True;True;False;Weak Downtrend;Weak Downtrend;Medium Downtrend;True;Broken;Complete;Complete
2024-01-10;1.09487;1.0932;True;True;True;1.0940349999999999;1.09449;1.09228;True;True;True;1.093385;1.09365;1.09297;True;False;True;1.09331;1.09513;1.0935;1.094315;False;False;True;Weak Uptrend;Expansion;Medium Downtrend;True;Complete;Complete;Complete
2024-01-11;1.09737;1.09302;False;True;True;1.095195;1.09813;1.09716;False;False;False;1.097645;1.09761;1.09725;True;True;True;1.0974300000000001;1.09487;1.0932;1.0940349999999999;True;True;True;Medium Downtrend;Expansion;Strong Uptrend;True;Complete;Broken;Broken
2024-01-12;1.09868;1.09679;True;False;True;1.0977350000000001;1.09828;1.09648;True;False;True;1.0973799999999998;1.09845;1.09754;True;False;False;1.097995;1.09737;1.09302;1.095195;False;True;True;Weak Uptrend;Weak Downtrend;Strong Uptrend;True;Broken;Complete;Broken
2024-01-15;1.09466;1.09382;True;True;True;1.09424;1.0965;1.09533;True;False;True;1.095915;1.09477;1.09407;False;True;True;1.09442;1.09868;1.09679;1.0977350000000001;True;False;True;Strong Downtrend;Strong Uptrend;Strong Downtrend;True;Broken;Broken;Broken
2024-01-16;1.08879;1.08656;True;True;False;1.087675;1.09232;1.0894;False;False;True;1.09086;1.09479;1.09383;False;False;True;1.0943100000000001;1.09466;1.09382;1.09424;True;True;True;Strong Downtrend;Strong Downtrend;Weak Uptrend;True;Broken;Complete;Broken
2024-01-17;1.08708;1.08465;False;False;False;1.085865;1.08815;1.0866;False;False;False;1.087375;1.08788;1.08722;False;True;False;1.08755;1.08879;1.08656;1.087675;True;True;False;Medium Downtrend;Expansion;Contraction;True;Broken;Broken;Broken
2024-01-18;1.08683;1.08492;False;True;True;1.0858750000000001;1.08889;1.08774;False;True;False;1.088315;1.08863;1.08812;False;True;True;1.088375;1.08708;1.08465;1.085865;False;False;False;Strong Downtrend;Expansion;Strong Uptrend;True;Complete;Broken;Broken
2024-01-19;1.08897;1.08657;True;True;True;1.08777;1.08819;1.0868;False;True;True;1.087495;1.08814;1.08747;True;True;True;1.087805;1.08683;1.08492;1.0858750000000001;False;True;True;Expansion;Expansion;Strong Uptrend;True;Complete;Complete;Complete
2024-01-22;1.08981;1.08852;True;False;False;1.089165;1.09008;1.08872;False;True;False;1.0894;1.08963;1.08905;True;True;True;1.08934;1.08897;1.08657;1.08777;True;True;True;Weak Downtrend;Expansion;Strong Uptrend;True;Complete;Broken;Complete
2024-01-23;1.0865;1.08349;False;False;True;1.0849950000000002;1.09105;1.08923;False;False;True;1.0901399999999999;1.08806;1.08756;False;True;True;1.0878100000000002;1.08981;1.08852;1.089165;True;False;False;Strong Downtrend;Strong Uptrend;Strong Downtrend;True;Broken;Broken;Complete
2024-01-24;1.09323;1.08957;False;False;True;1.0914;1.08805;1.08626;False;True;True;1.087155;1.08598;1.08554;False;False;False;1.08576;1.0865;1.08349;1.0849950000000002;False;False;True;Strong Uptrend;Strong Uptrend;Contraction;True;Broken;Complete;Broken
2024-01-25;1.08675;1.08374;False;False;True;1.085245;1.08996;1.08828;True;False;True;1.0891199999999999;1.08841;1.08726;False;False;True;1.087835;1.09323;1.08957;1.0914;False;False;True;Strong Downtrend;Medium Uptrend;Strong Downtrend;True;Complete;Broken;Complete
2024-01-26;1.08741;1.0855;False;False;True;1.086455;1.0842;1.08173;True;True;True;1.0829650000000002;1.08476;1.08381;False;False;False;1.084285;1.08675;1.08374;1.085245;False;False;True;Strong Uptrend;Medium Downtrend;Contraction;True;Broken;Broken;Broken
2024-01-29;1.08106;1.07981;False;False;False;1.080435;1.08419;1.08331;False;False;True;1.08375;1.08466;1.08412;False;True;False;1.08439;1.08741;1.0855;1.086455;False;False;True;Strong Downtrend;Medium Downtrend;Strong Downtrend;True;Broken;Complete;Broken
2024-01-30;1.08574;1.08279;False;False;True;1.0842649999999998;1.08321;1.08162;False;True;True;1.0824150000000001;1.08383;1.08332;True;True;False;1.0835750000000002;1.08106;1.07981;1.080435;False;False;False;Medium Uptrend;Strong Downtrend;Strong Uptrend;True;Broken;Broken;Broken
2024-01-31;1.08875;1.08627;False;False;True;1.08751;1.08262;1.08092;True;True;True;1.0817700000000001;1.08482;1.08425;True;False;True;1.0845349999999998;1.08574;1.08279;1.0842649999999998;False;False;True;Strong Uptrend;Strong Downtrend;Contraction;True;Complete;Broken;Broken
2024-02-01;1.08317;1.08065;True;True;True;1.0819100000000001;1.07939;1.07798;False;True;True;1.0786850000000001;1.08109;1.08018;False;True;True;1.080635;1.08875;1.08627;1.08751;False;False;True;Strong Uptrend;Strong Downtrend;Strong Downtrend;True;Broken;Broken;Complete
2024-02-02;1.08168;1.07839;False;False;True;1.080035;1.08902;1.08734;False;True;True;1.08818;1.08796;1.0873;True;False;True;1.0876299999999999;1.08317;1.08065;1.0819100000000001;True;True;True;Strong Downtrend;Weak Uptrend;Strong Uptrend;True;Broken;Complete;Complete
2024-02-05;1.07443;1.07253;False;False;False;1.07348;1.07861;1.07633;False;False;True;1.07747;1.07831;1.07701;False;False;True;1.07766;1.08168;1.07839;1.080035;False;False;True;Strong Downtrend;Expansion;Strong Downtrend;True;Complete;Complete;Complete
2024-02-06;1.0748;1.073;True;True;True;1.0739;1.076;1.0745;False;False;True;1.07525;1.07438;1.07409;False;True;True;1.0742349999999998;1.07443;1.07253;1.07348;False;False;False;Medium Downtrend;Strong Uptrend;Contraction;True;Complete;Broken;Broken
